Current state,Previous residence,Persons
JAMMU & KASHMIR,Jammu & Kashmir,0
JAMMU & KASHMIR,Himachal Pradesh,8609
JAMMU & KASHMIR,Punjab,43938
JAMMU & KASHMIR,Chandigarh,611
JAMMU & KASHMIR,Uttarakhand,3180
JAMMU & KASHMIR,Haryana,5987
JAMMU & KASHMIR,NCT of Delhi,5269
JAMMU & KASHMIR,Rajasthan,6079
JAMMU & KASHMIR,Uttar Pradesh,20190
JAMMU & KASHMIR,Bihar,13200
JAMMU & KASHMIR,Sikkim,109
JAMMU & KASHMIR,Arunachal Pradesh,105
JAMMU & KASHMIR,Nagaland,97
JAMMU & KASHMIR,Manipur,227
JAMMU & KASHMIR,Mizoram,57
JAMMU & KASHMIR,Tripura,173
JAMMU & KASHMIR,Meghalaya,139
JAMMU & KASHMIR,Assam,1906
JAMMU & KASHMIR,West Bengal,10164
JAMMU & KASHMIR,Jharkhand,2210
JAMMU & KASHMIR,Odisha,2233
JAMMU & KASHMIR,Chhattisgarh,9949
JAMMU & KASHMIR,Madhya Pradesh,7599
JAMMU & KASHMIR,Gujarat,1237
JAMMU & KASHMIR,Daman & Diu,6
JAMMU & KASHMIR,Dadra & Nagar Haveli,17
JAMMU & KASHMIR,Maharashtra,4722
JAMMU & KASHMIR,Andhra Pradesh,2085
JAMMU & KASHMIR,Karnataka,1313
JAMMU & KASHMIR,Goa,116
JAMMU & KASHMIR,Lakshadweep,264
JAMMU & KASHMIR,Kerala,1485
JAMMU & KASHMIR,Tamil Nadu,1842
JAMMU & KASHMIR,Puducherry,18
JAMMU & KASHMIR,Andaman & Nicobar Islands,51
JAMMU & KASHMIR,Afganistan,9
JAMMU & KASHMIR,Bangladesh,300
JAMMU & KASHMIR,Bhutan,7
JAMMU & KASHMIR,China,861
JAMMU & KASHMIR,Indonesia,10
JAMMU & KASHMIR,Iran,42
JAMMU & KASHMIR,Iraq,23
JAMMU & KASHMIR,Japan,19
JAMMU & KASHMIR,Kuwait,3
JAMMU & KASHMIR,Malaysia,4
JAMMU & KASHMIR,Maldives,0
JAMMU & KASHMIR,Mayanmar,474
JAMMU & KASHMIR,Nepal,2016
JAMMU & KASHMIR,Pakistan,15243
JAMMU & KASHMIR,Saudi Arabia,132
JAMMU & KASHMIR,Singapore,11
JAMMU & KASHMIR,Sri Lanka,0
JAMMU & KASHMIR,Turkey,0
JAMMU & KASHMIR,United Arab Emirates,49
JAMMU & KASHMIR,Kazakstan,2
JAMMU & KASHMIR,Vietnam,0
JAMMU & KASHMIR,Countries in Europe,395
JAMMU & KASHMIR,France,5
JAMMU & KASHMIR,Germany,22
JAMMU & KASHMIR,Portugal,0
JAMMU & KASHMIR,UK,65
JAMMU & KASHMIR,Kenya,0
JAMMU & KASHMIR,Mauritius,4
JAMMU & KASHMIR,Nigeria,5
JAMMU & KASHMIR,Uganda,1
JAMMU & KASHMIR,Zambia,0
JAMMU & KASHMIR,Canada,18
JAMMU & KASHMIR,U.S.A.,121
JAMMU & KASHMIR,Australia,29
JAMMU & KASHMIR,Fiji,3
HIMACHAL PRADESH,Jammu & Kashmir,15565
HIMACHAL PRADESH,Himachal Pradesh,0
HIMACHAL PRADESH,Punjab,130851
HIMACHAL PRADESH,Chandigarh,11136
HIMACHAL PRADESH,Uttarakhand,22740
HIMACHAL PRADESH,Haryana,35750
HIMACHAL PRADESH,NCT of Delhi,18467
HIMACHAL PRADESH,Rajasthan,8652
HIMACHAL PRADESH,Uttar Pradesh,66005
HIMACHAL PRADESH,Bihar,37600
HIMACHAL PRADESH,Sikkim,844
HIMACHAL PRADESH,Arunachal Pradesh,1052
HIMACHAL PRADESH,Nagaland,172
HIMACHAL PRADESH,Manipur,220
HIMACHAL PRADESH,Mizoram,77
HIMACHAL PRADESH,Tripura,131
HIMACHAL PRADESH,Meghalaya,197
HIMACHAL PRADESH,Assam,2134
HIMACHAL PRADESH,West Bengal,5897
HIMACHAL PRADESH,Jharkhand,10645
HIMACHAL PRADESH,Odisha,3295
HIMACHAL PRADESH,Chhattisgarh,5008
HIMACHAL PRADESH,Madhya Pradesh,6509
HIMACHAL PRADESH,Gujarat,1578
HIMACHAL PRADESH,Daman & Diu,31
HIMACHAL PRADESH,Dadra & Nagar Haveli,8
HIMACHAL PRADESH,Maharashtra,5752
HIMACHAL PRADESH,Andhra Pradesh,1933
HIMACHAL PRADESH,Karnataka,1538
HIMACHAL PRADESH,Goa,111
HIMACHAL PRADESH,Lakshadweep,102
HIMACHAL PRADESH,Kerala,775
HIMACHAL PRADESH,Tamil Nadu,668
HIMACHAL PRADESH,Puducherry,14
HIMACHAL PRADESH,Andaman & Nicobar Islands,47
HIMACHAL PRADESH,Afganistan,21
HIMACHAL PRADESH,Bangladesh,40
HIMACHAL PRADESH,Bhutan,299
HIMACHAL PRADESH,China,15
HIMACHAL PRADESH,Indonesia,1
HIMACHAL PRADESH,Iran,5
HIMACHAL PRADESH,Iraq,6
HIMACHAL PRADESH,Japan,11
HIMACHAL PRADESH,Kuwait,29
HIMACHAL PRADESH,Malaysia,14
HIMACHAL PRADESH,Maldives,0
HIMACHAL PRADESH,Mayanmar,8
HIMACHAL PRADESH,Nepal,50660
HIMACHAL PRADESH,Pakistan,2359
HIMACHAL PRADESH,Saudi Arabia,37
HIMACHAL PRADESH,Singapore,5
HIMACHAL PRADESH,Sri Lanka,4
HIMACHAL PRADESH,Turkey,0
HIMACHAL PRADESH,United Arab Emirates,83
HIMACHAL PRADESH,Kazakstan,0
HIMACHAL PRADESH,Vietnam,0
HIMACHAL PRADESH,Countries in Europe,1337
HIMACHAL PRADESH,France,13
HIMACHAL PRADESH,Germany,30
HIMACHAL PRADESH,Portugal,2
HIMACHAL PRADESH,UK,47
HIMACHAL PRADESH,Kenya,4
HIMACHAL PRADESH,Mauritius,1
HIMACHAL PRADESH,Nigeria,8
HIMACHAL PRADESH,Uganda,0
HIMACHAL PRADESH,Zambia,0
HIMACHAL PRADESH,Canada,147
HIMACHAL PRADESH,U.S.A.,88
HIMACHAL PRADESH,Australia,50
HIMACHAL PRADESH,Fiji,0
PUNJAB,Jammu & Kashmir,70299
PUNJAB,Himachal Pradesh,214213
PUNJAB,Punjab,0
PUNJAB,Chandigarh,149591
PUNJAB,Uttarakhand,55392
PUNJAB,Haryana,545584
PUNJAB,NCT of Delhi,45310
PUNJAB,Rajasthan,202166
PUNJAB,Uttar Pradesh,649557
PUNJAB,Bihar,352537
PUNJAB,Sikkim,330
PUNJAB,Arunachal Pradesh,405
PUNJAB,Nagaland,569
PUNJAB,Manipur,774
PUNJAB,Mizoram,311
PUNJAB,Tripura,385
PUNJAB,Meghalaya,507
PUNJAB,Assam,11925
PUNJAB,West Bengal,46958
PUNJAB,Jharkhand,19950
PUNJAB,Odisha,11717
PUNJAB,Chhattisgarh,8403
PUNJAB,Madhya Pradesh,32869
PUNJAB,Gujarat,10436
PUNJAB,Daman & Diu,6
PUNJAB,Dadra & Nagar Haveli,17
PUNJAB,Maharashtra,32781
PUNJAB,Andhra Pradesh,7789
PUNJAB,Karnataka,4470
PUNJAB,Goa,435
PUNJAB,Lakshadweep,600
PUNJAB,Kerala,5910
PUNJAB,Tamil Nadu,5540
PUNJAB,Puducherry,310
PUNJAB,Andaman & Nicobar Islands,253
PUNJAB,Afganistan,58
PUNJAB,Bangladesh,525
PUNJAB,Bhutan,40
PUNJAB,China,274
PUNJAB,Indonesia,73
PUNJAB,Iran,36
PUNJAB,Iraq,34
PUNJAB,Japan,12
PUNJAB,Kuwait,143
PUNJAB,Malaysia,354
PUNJAB,Maldives,5
PUNJAB,Mayanmar,492
PUNJAB,Nepal,27791
PUNJAB,Pakistan,201162
PUNJAB,Saudi Arabia,82
PUNJAB,Singapore,282
PUNJAB,Sri Lanka,58
PUNJAB,Turkey,2
PUNJAB,United Arab Emirates,1355
PUNJAB,Kazakstan,1
PUNJAB,Vietnam,1
PUNJAB,Countries in Europe,6349
PUNJAB,France,31
PUNJAB,Germany,218
PUNJAB,Portugal,16
PUNJAB,UK,968
PUNJAB,Kenya,71
PUNJAB,Mauritius,6
PUNJAB,Nigeria,7
PUNJAB,Uganda,9
PUNJAB,Zambia,4
PUNJAB,Canada,2177
PUNJAB,U.S.A.,1182
PUNJAB,Australia,731
PUNJAB,Fiji,8
CHANDIGARH,Jammu & Kashmir,5997
CHANDIGARH,Himachal Pradesh,60254
CHANDIGARH,Punjab,148481
CHANDIGARH,Chandigarh,0
CHANDIGARH,Uttarakhand,31164
CHANDIGARH,Haryana,93037
CHANDIGARH,NCT of Delhi,20889
CHANDIGARH,Rajasthan,9446
CHANDIGARH,Uttar Pradesh,179574
CHANDIGARH,Bihar,50703
CHANDIGARH,Sikkim,70
CHANDIGARH,Arunachal Pradesh,99
CHANDIGARH,Nagaland,84
CHANDIGARH,Manipur,623
CHANDIGARH,Mizoram,47
CHANDIGARH,Tripura,73
CHANDIGARH,Meghalaya,183
CHANDIGARH,Assam,2166
CHANDIGARH,West Bengal,6951
CHANDIGARH,Jharkhand,3023
CHANDIGARH,Odisha,1600
CHANDIGARH,Chhattisgarh,1123
CHANDIGARH,Madhya Pradesh,3730
CHANDIGARH,Gujarat,2082
CHANDIGARH,Daman & Diu,10
CHANDIGARH,Dadra & Nagar Haveli,7
CHANDIGARH,Maharashtra,4999
CHANDIGARH,Andhra Pradesh,1528
CHANDIGARH,Karnataka,1514
CHANDIGARH,Goa,94
CHANDIGARH,Lakshadweep,19
CHANDIGARH,Kerala,1016
CHANDIGARH,Tamil Nadu,3223
CHANDIGARH,Puducherry,32
CHANDIGARH,Andaman & Nicobar Islands,125
CHANDIGARH,Afganistan,38
CHANDIGARH,Bangladesh,25
CHANDIGARH,Bhutan,39
CHANDIGARH,China,13
CHANDIGARH,Indonesia,28
CHANDIGARH,Iran,30
CHANDIGARH,Iraq,19
CHANDIGARH,Japan,6
CHANDIGARH,Kuwait,22
CHANDIGARH,Malaysia,22
CHANDIGARH,Maldives,0
CHANDIGARH,Mayanmar,33
CHANDIGARH,Nepal,7230
CHANDIGARH,Pakistan,2965
CHANDIGARH,Saudi Arabia,12
CHANDIGARH,Singapore,13
CHANDIGARH,Sri Lanka,2
CHANDIGARH,Turkey,1
CHANDIGARH,United Arab Emirates,65
CHANDIGARH,Kazakstan,1
CHANDIGARH,Vietnam,0
CHANDIGARH,Countries in Europe,452
CHANDIGARH,France,14
CHANDIGARH,Germany,37
CHANDIGARH,Portugal,0
CHANDIGARH,UK,115
CHANDIGARH,Kenya,27
CHANDIGARH,Mauritius,4
CHANDIGARH,Nigeria,12
CHANDIGARH,Uganda,5
CHANDIGARH,Zambia,3
CHANDIGARH,Canada,163
CHANDIGARH,U.S.A.,309
CHANDIGARH,Australia,72
CHANDIGARH,Fiji,1
UTTARAKHAND,Jammu & Kashmir,9268
UTTARAKHAND,Himachal Pradesh,24089
UTTARAKHAND,Punjab,45667
UTTARAKHAND,Chandigarh,2850
UTTARAKHAND,Uttarakhand,0
UTTARAKHAND,Haryana,33899
UTTARAKHAND,NCT of Delhi,52002
UTTARAKHAND,Rajasthan,18410
UTTARAKHAND,Uttar Pradesh,890663
UTTARAKHAND,Bihar,76116
UTTARAKHAND,Sikkim,612
UTTARAKHAND,Arunachal Pradesh,1232
UTTARAKHAND,Nagaland,729
UTTARAKHAND,Manipur,926
UTTARAKHAND,Mizoram,286
UTTARAKHAND,Tripura,501
UTTARAKHAND,Meghalaya,880
UTTARAKHAND,Assam,5731
UTTARAKHAND,West Bengal,26298
UTTARAKHAND,Jharkhand,10768
UTTARAKHAND,Odisha,4224
UTTARAKHAND,Chhattisgarh,3239
UTTARAKHAND,Madhya Pradesh,13268
UTTARAKHAND,Gujarat,5344
UTTARAKHAND,Daman & Diu,45
UTTARAKHAND,Dadra & Nagar Haveli,66
UTTARAKHAND,Maharashtra,13114
UTTARAKHAND,Andhra Pradesh,3565
UTTARAKHAND,Karnataka,2330
UTTARAKHAND,Goa,236
UTTARAKHAND,Lakshadweep,328
UTTARAKHAND,Kerala,1962
UTTARAKHAND,Tamil Nadu,1748
UTTARAKHAND,Puducherry,69
UTTARAKHAND,Andaman & Nicobar Islands,110
UTTARAKHAND,Afganistan,30
UTTARAKHAND,Bangladesh,12138
UTTARAKHAND,Bhutan,333
UTTARAKHAND,China,1730
UTTARAKHAND,Indonesia,7
UTTARAKHAND,Iran,20
UTTARAKHAND,Iraq,8
UTTARAKHAND,Japan,32
UTTARAKHAND,Kuwait,32
UTTARAKHAND,Malaysia,13
UTTARAKHAND,Maldives,2
UTTARAKHAND,Mayanmar,253
UTTARAKHAND,Nepal,44084
UTTARAKHAND,Pakistan,12925
UTTARAKHAND,Saudi Arabia,68
UTTARAKHAND,Singapore,25
UTTARAKHAND,Sri Lanka,18
UTTARAKHAND,Turkey,0
UTTARAKHAND,United Arab Emirates,113
UTTARAKHAND,Kazakstan,0
UTTARAKHAND,Vietnam,1
UTTARAKHAND,Countries in Europe,874
UTTARAKHAND,France,40
UTTARAKHAND,Germany,42
UTTARAKHAND,Portugal,0
UTTARAKHAND,UK,54
UTTARAKHAND,Kenya,4
UTTARAKHAND,Mauritius,4
UTTARAKHAND,Nigeria,14
UTTARAKHAND,Uganda,4
UTTARAKHAND,Zambia,0
UTTARAKHAND,Canada,31
UTTARAKHAND,U.S.A.,107
UTTARAKHAND,Australia,34
UTTARAKHAND,Fiji,0
HARYANA,Jammu & Kashmir,17700
HARYANA,Himachal Pradesh,60586
HARYANA,Punjab,538328
HARYANA,Chandigarh,71890
HARYANA,Uttarakhand,77179
HARYANA,Haryana,0
HARYANA,NCT of Delhi,468298
HARYANA,Rajasthan,611160
HARYANA,Uttar Pradesh,1113535
HARYANA,Bihar,390937
HARYANA,Sikkim,325
HARYANA,Arunachal Pradesh,387
HARYANA,Nagaland,487
HARYANA,Manipur,601
HARYANA,Mizoram,115
HARYANA,Tripura,1204
HARYANA,Meghalaya,481
HARYANA,Assam,14088
HARYANA,West Bengal,75893
HARYANA,Jharkhand,20853
HARYANA,Odisha,16280
HARYANA,Chhattisgarh,11813
HARYANA,Madhya Pradesh,56240
HARYANA,Gujarat,11250
HARYANA,Daman & Diu,32
HARYANA,Dadra & Nagar Haveli,20
HARYANA,Maharashtra,30907
HARYANA,Andhra Pradesh,10386
HARYANA,Karnataka,8084
HARYANA,Goa,571
HARYANA,Lakshadweep,230
HARYANA,Kerala,8302
HARYANA,Tamil Nadu,7724
HARYANA,Puducherry,233
HARYANA,Andaman & Nicobar Islands,199
HARYANA,Afganistan,565
HARYANA,Bangladesh,578
HARYANA,Bhutan,57
HARYANA,China,307
HARYANA,Indonesia,60
HARYANA,Iran,33
HARYANA,Iraq,21
HARYANA,Japan,195
HARYANA,Kuwait,98
HARYANA,Malaysia,49
HARYANA,Maldives,0
HARYANA,Mayanmar,78
HARYANA,Nepal,23701
HARYANA,Pakistan,108214
HARYANA,Saudi Arabia,111
HARYANA,Singapore,201
HARYANA,Sri Lanka,42
HARYANA,Turkey,4
HARYANA,United Arab Emirates,327
HARYANA,Kazakstan,0
HARYANA,Vietnam,0
HARYANA,Countries in Europe,4386
HARYANA,France,32
HARYANA,Germany,136
HARYANA,Portugal,13
HARYANA,UK,425
HARYANA,Kenya,30
HARYANA,Mauritius,13
HARYANA,Nigeria,40
HARYANA,Uganda,2
HARYANA,Zambia,12
HARYANA,Canada,207
HARYANA,U.S.A.,1174
HARYANA,Australia,216
HARYANA,Fiji,5
NCT OF DELHI,Jammu & Kashmir,40146
NCT OF DELHI,Himachal Pradesh,79272
NCT OF DELHI,Punjab,247966
NCT OF DELHI,Chandigarh,8328
NCT OF DELHI,Uttarakhand,294704
NCT OF DELHI,Haryana,666331
NCT OF DELHI,NCT of Delhi,0
NCT OF DELHI,Rajasthan,315238
NCT OF DELHI,Uttar Pradesh,2854297
NCT OF DELHI,Bihar,1106629
NCT OF DELHI,Sikkim,995
NCT OF DELHI,Arunachal Pradesh,1404
NCT OF DELHI,Nagaland,1921
NCT OF DELHI,Manipur,6164
NCT OF DELHI,Mizoram,678
NCT OF DELHI,Tripura,1490
NCT OF DELHI,Meghalaya,2569
NCT OF DELHI,Assam,26233
NCT OF DELHI,West Bengal,182356
NCT OF DELHI,Jharkhand,69196
NCT OF DELHI,Odisha,41162
NCT OF DELHI,Chhattisgarh,12634
NCT OF DELHI,Madhya Pradesh,134867
NCT OF DELHI,Gujarat,24153
NCT OF DELHI,Daman & Diu,38
NCT OF DELHI,Dadra & Nagar Haveli,91
NCT OF DELHI,Maharashtra,63692
NCT OF DELHI,Andhra Pradesh,23436
NCT OF DELHI,Karnataka,15386
NCT OF DELHI,Goa,1193
NCT OF DELHI,Lakshadweep,123
NCT OF DELHI,Kerala,60297
NCT OF DELHI,Tamil Nadu,45862
NCT OF DELHI,Puducherry,537
NCT OF DELHI,Andaman & Nicobar Islands,677
NCT OF DELHI,Afganistan,4607
NCT OF DELHI,Bangladesh,2329
NCT OF DELHI,Bhutan,154
NCT OF DELHI,China,118
NCT OF DELHI,Indonesia,68
NCT OF DELHI,Iran,224
NCT OF DELHI,Iraq,82
NCT OF DELHI,Japan,195
NCT OF DELHI,Kuwait,343
NCT OF DELHI,Malaysia,114
NCT OF DELHI,Maldives,22
NCT OF DELHI,Mayanmar,1023
NCT OF DELHI,Nepal,32716
NCT OF DELHI,Pakistan,117433
NCT OF DELHI,Saudi Arabia,504
NCT OF DELHI,Singapore,200
NCT OF DELHI,Sri Lanka,110
NCT OF DELHI,Turkey,22
NCT OF DELHI,United Arab Emirates,610
NCT OF DELHI,Kazakstan,17
NCT OF DELHI,Vietnam,25
NCT OF DELHI,Countries in Europe,3607
NCT OF DELHI,France,106
NCT OF DELHI,Germany,138
NCT OF DELHI,Portugal,15
NCT OF DELHI,UK,794
NCT OF DELHI,Kenya,85
NCT OF DELHI,Mauritius,25
NCT OF DELHI,Nigeria,192
NCT OF DELHI,Uganda,34
NCT OF DELHI,Zambia,17
NCT OF DELHI,Canada,212
NCT OF DELHI,U.S.A.,932
NCT OF DELHI,Australia,171
NCT OF DELHI,Fiji,21
RAJASTHAN,Jammu & Kashmir,19100
RAJASTHAN,Himachal Pradesh,11325
RAJASTHAN,Punjab,213308
RAJASTHAN,Chandigarh,1961
RAJASTHAN,Uttarakhand,23233
RAJASTHAN,Haryana,533963
RAJASTHAN,NCT of Delhi,83134
RAJASTHAN,Rajasthan,0
RAJASTHAN,Uttar Pradesh,585982
RAJASTHAN,Bihar,134402
RAJASTHAN,Sikkim,327
RAJASTHAN,Arunachal Pradesh,369
RAJASTHAN,Nagaland,789
RAJASTHAN,Manipur,753
RAJASTHAN,Mizoram,363
RAJASTHAN,Tripura,717
RAJASTHAN,Meghalaya,1226
RAJASTHAN,Assam,12936
RAJASTHAN,West Bengal,67695
RAJASTHAN,Jharkhand,13183
RAJASTHAN,Odisha,12991
RAJASTHAN,Chhattisgarh,7266
RAJASTHAN,Madhya Pradesh,554058
RAJASTHAN,Gujarat,200767
RAJASTHAN,Daman & Diu,72
RAJASTHAN,Dadra & Nagar Haveli,127
RAJASTHAN,Maharashtra,73366
RAJASTHAN,Andhra Pradesh,12193
RAJASTHAN,Karnataka,11697
RAJASTHAN,Goa,555
RAJASTHAN,Lakshadweep,961
RAJASTHAN,Kerala,16128
RAJASTHAN,Tamil Nadu,9042
RAJASTHAN,Puducherry,114
RAJASTHAN,Andaman & Nicobar Islands,195
RAJASTHAN,Afganistan,46
RAJASTHAN,Bangladesh,1439
RAJASTHAN,Bhutan,38
RAJASTHAN,China,44
RAJASTHAN,Indonesia,37
RAJASTHAN,Iran,36
RAJASTHAN,Iraq,106
RAJASTHAN,Japan,41
RAJASTHAN,Kuwait,833
RAJASTHAN,Malaysia,14
RAJASTHAN,Maldives,0
RAJASTHAN,Mayanmar,107
RAJASTHAN,Nepal,8180
RAJASTHAN,Pakistan,60670
RAJASTHAN,Saudi Arabia,938
RAJASTHAN,Singapore,29
RAJASTHAN,Sri Lanka,41
RAJASTHAN,Turkey,1
RAJASTHAN,United Arab Emirates,1305
RAJASTHAN,Kazakstan,1
RAJASTHAN,Vietnam,2
RAJASTHAN,Countries in Europe,8902
RAJASTHAN,France,16
RAJASTHAN,Germany,17
RAJASTHAN,Portugal,0
RAJASTHAN,UK,38
RAJASTHAN,Kenya,12
RAJASTHAN,Mauritius,0
RAJASTHAN,Nigeria,17
RAJASTHAN,Uganda,6
RAJASTHAN,Zambia,1
RAJASTHAN,Canada,47
RAJASTHAN,U.S.A.,134
RAJASTHAN,Australia,49
RAJASTHAN,Fiji,0
UTTAR PRADESH,Jammu & Kashmir,33008
UTTAR PRADESH,Himachal Pradesh,21072
UTTAR PRADESH,Punjab,142235
UTTAR PRADESH,Chandigarh,6028
UTTAR PRADESH,Uttarakhand,393540
UTTAR PRADESH,Haryana,230740
UTTAR PRADESH,NCT of Delhi,566210
UTTAR PRADESH,Rajasthan,284056
UTTAR PRADESH,Uttar Pradesh,0
UTTAR PRADESH,Bihar,1072739
UTTAR PRADESH,Sikkim,476
UTTAR PRADESH,Arunachal Pradesh,931
UTTAR PRADESH,Nagaland,868
UTTAR PRADESH,Manipur,1260
UTTAR PRADESH,Mizoram,281
UTTAR PRADESH,Tripura,698
UTTAR PRADESH,Meghalaya,1125
UTTAR PRADESH,Assam,30157
UTTAR PRADESH,West Bengal,234042
UTTAR PRADESH,Jharkhand,110358
UTTAR PRADESH,Odisha,35269
UTTAR PRADESH,Chhattisgarh,56676
UTTAR PRADESH,Madhya Pradesh,668537
UTTAR PRADESH,Gujarat,25459
UTTAR PRADESH,Daman & Diu,34
UTTAR PRADESH,Dadra & Nagar Haveli,375
UTTAR PRADESH,Maharashtra,88310
